Designator,Mid X,Mid Y,Rotation,Layer
C1,4.417256,-8.4135,270.0,bottom
C10,82.538956,-39.1299,90.0,bottom
C100,259.211006,-46.5135,270.0,bottom
C101,264.980006,-45.7585,270.0,bottom
C102,16.323506,-65.5635,270.0,bottom
C103,22.092506,-64.8085,270.0,bottom
C104,47.279756,-65.5635,270.0,bottom
C105,53.048756,-64.8085,270.0,bottom
C106,66.329756,-65.5635,270.0,bottom
C107,72.098756,-64.8085,270.0,bottom
C108,85.379756,-65.5635,270.0,bottom
C109,91.148756,-64.8085,270.0,bottom
C11,155.054956,-73.1973,90.0,bottom
C110,104.429756,-65.5635,270.0,bottom
C111,110.198756,-64.8085,270.0,bottom
C112,123.479756,-65.5635,270.0,bottom
C113,129.248756,-64.8085,270.0,bottom
C114,142.529756,-65.5635,270.0,bottom
C115,148.298756,-64.8085,270.0,bottom
C116,161.579756,-65.5635,270.0,bottom
C117,167.348756,-64.8085,270.0,bottom
C118,180.629756,-65.5635,270.0,bottom
C119,186.398756,-64.8085,270.0,bottom
C12,20.407756,-39.1299,90.0,bottom
C120,199.679756,-65.5635,270.0,bottom
C121,205.448756,-64.8085,270.0,bottom
C122,218.729756,-65.5635,270.0,bottom
C123,224.498756,-64.8085,270.0,bottom
C124,254.448506,-65.5635,270.0,bottom
C125,260.217506,-64.8085,270.0,bottom
C126,6.798506,-84.6135,270.0,bottom
C127,12.567506,-83.8585,270.0,bottom
C128,30.611006,-84.6135,270.0,bottom
C129,36.380006,-83.8585,270.0,bottom
C13,140.714956,-82.1598,90.0,bottom
C130,54.423506,-84.6135,270.0,bottom
C131,60.192506,-83.8585,270.0,bottom
C132,125.861006,-84.6135,270.0,bottom
C133,131.630006,-83.8585,270.0,bottom
C134,197.298506,-84.6135,270.0,bottom
C135,203.067506,-83.8585,270.0,bottom
C136,221.111006,-84.6135,270.0,bottom
C137,226.880006,-83.8585,270.0,bottom
C138,244.923506,-84.6135,270.0,bottom
C139,250.692506,-83.8585,270.0,bottom
C14,140.704956,-80.2398,270.0,bottom
C140,268.736006,-84.6135,270.0,bottom
C141,274.505006,-83.8585,270.0,bottom
C142,36.541206,-14.75,270.0,bottom
C143,146.664956,-81.6798,0.0,bottom
C15,45.3,-52.0,270.0,bottom
C16,53.6375,-57.8,0.0,bottom
C17,98.224956,-88.8273,90.0,bottom
C18,23.467256,-8.4135,270.0,bottom
C19,29.236256,-7.6585,270.0,bottom
C2,10.186256,-7.6585,270.0,bottom
C20,139.795256,-39.1299,90.0,bottom
C21,254.095256,-38.4361,90.0,bottom
C22,200.945256,-39.1299,90.0,bottom
C23,39.534956,-15.8,0.0,bottom
C24,42.517256,-8.4135,270.0,bottom
C25,48.286256,-7.6585,270.0,bottom
C26,61.567256,-8.4135,270.0,bottom
C27,67.336256,-7.6585,270.0,bottom
C28,80.617256,-8.4135,270.0,bottom
C29,86.386256,-7.6585,270.0,bottom
C3,156.144956,-82.7573,180.0,bottom
C30,99.667256,-8.4135,270.0,bottom
C31,105.436256,-7.6585,270.0,bottom
C32,118.717256,-8.4135,270.0,bottom
C33,124.486256,-7.6585,270.0,bottom
C34,137.767256,-8.4135,270.0,bottom
C35,143.536256,-7.6585,270.0,bottom
C36,156.817256,-8.4135,270.0,bottom
C37,162.586256,-7.6585,270.0,bottom
C38,175.867256,-8.4135,270.0,bottom
C39,181.636256,-7.6585,270.0,bottom
C4,155.457549,-70.5123,90.0,bottom
C40,194.917256,-8.4135,270.0,bottom
C41,200.686256,-7.6585,270.0,bottom
C42,213.967256,-8.4135,270.0,bottom
C43,219.736256,-7.6585,270.0,bottom
C44,233.017256,-8.4135,270.0,bottom
C45,238.786256,-7.6585,270.0,bottom
C46,261.592256,-8.4135,270.0,bottom
C47,267.361256,-7.6585,270.0,bottom
C48,9.179756,-27.4635,270.0,bottom
C49,14.948756,-26.7085,270.0,bottom
C5,154.457549,-70.5123,90.0,bottom
C50,32.992256,-27.4635,270.0,bottom
C51,38.761256,-26.7085,270.0,bottom
C52,52.042256,-27.4635,270.0,bottom
C53,57.811256,-26.7085,270.0,bottom
C54,71.092256,-27.4635,270.0,bottom
C55,76.861256,-26.7085,270.0,bottom
C56,90.142256,-27.4635,270.0,bottom
C57,95.911256,-26.7085,270.0,bottom
C58,109.192256,-27.4635,270.0,bottom
C59,114.961256,-26.7085,270.0,bottom
C6,151.452268,-72.072488,0.0,bottom
C60,128.242256,-27.4635,270.0,bottom
C61,134.011256,-26.7085,270.0,bottom
C62,147.292256,-27.4635,270.0,bottom
C63,153.061256,-26.7085,270.0,bottom
C64,166.342256,-27.4635,270.0,bottom
C65,172.111256,-26.7085,270.0,bottom
C66,185.392256,-27.4635,270.0,bottom
C67,191.161256,-26.7085,270.0,bottom
C68,204.442256,-27.4635,270.0,bottom
C69,210.211256,-26.7085,270.0,bottom
C7,151.452268,-71.072488,0.0,bottom
C70,223.492256,-27.4635,270.0,bottom
C71,229.261256,-26.7085,270.0,bottom
C72,242.542256,-27.4635,270.0,bottom
C73,248.311256,-26.7085,270.0,bottom
C74,266.354756,-27.4635,270.0,bottom
C75,272.123756,-26.7085,270.0,bottom
C76,11.561006,-46.5135,270.0,bottom
C77,17.330006,-45.7585,270.0,bottom
C78,37.754756,-46.5135,270.0,bottom
C79,43.523756,-45.7585,270.0,bottom
C8,148.884956,-83.7173,180.0,bottom
C80,56.804756,-46.5135,270.0,bottom
C81,62.573756,-45.7585,270.0,bottom
C82,75.854756,-46.5135,270.0,bottom
C83,81.623756,-45.7585,270.0,bottom
C84,94.904756,-46.5135,270.0,bottom
C85,100.673756,-45.7585,270.0,bottom
C86,113.954756,-46.5135,270.0,bottom
C87,119.723756,-45.7585,270.0,bottom
C88,133.004756,-46.5135,270.0,bottom
C89,138.773756,-45.7585,270.0,bottom
C9,156.144956,-81.7273,180.0,bottom
C90,152.054756,-46.5135,270.0,bottom
C91,157.823756,-45.7585,270.0,bottom
C92,171.104756,-46.5135,270.0,bottom
C93,176.873756,-45.7585,270.0,bottom
C94,190.154756,-46.5135,270.0,bottom
C95,195.923756,-45.7585,270.0,bottom
C96,209.204756,-46.5135,270.0,bottom
C97,214.973756,-45.7585,270.0,bottom
C98,228.254756,-46.5135,270.0,bottom
C99,234.023756,-45.7585,270.0,bottom
FB1,153.157549,-71.0498,90.0,bottom
FB2,39.414956,-13.8,0.0,bottom
H1,1.2316,-19.1224,0.0,top
H2,130.2316,-18.1224,0.0,top
H3,279.2316,-21.6224,0.0,top
H4,63.5316,-37.1224,0.0,top
H5,196.9316,-37.1224,0.0,top
H6,20.7316,-85.5224,0.0,top
H7,139.7316,-90.5214,0.0,top
H8,258.7316,-85.1224,0.0,top
HALL1,6.749956,-9.0448,0.0,bottom
HALL10,178.199956,-9.0448,0.0,bottom
HALL11,197.249956,-9.0448,0.0,bottom
HALL12,216.299956,-9.0448,0.0,bottom
HALL13,235.349956,-9.0448,0.0,bottom
HALL14,263.924956,-9.0448,0.0,bottom
HALL15,11.512456,-28.0948,0.0,bottom
HALL16,35.324956,-28.0948,0.0,bottom
HALL17,54.374956,-28.0948,0.0,bottom
HALL18,73.424956,-28.0948,0.0,bottom
HALL19,92.474956,-28.0948,0.0,bottom
HALL2,25.799956,-9.0448,0.0,bottom
HALL20,111.524956,-28.0948,0.0,bottom
HALL21,130.574956,-28.0948,0.0,bottom
HALL22,149.624956,-28.0948,0.0,bottom
HALL23,168.674956,-28.0948,0.0,bottom
HALL24,187.724956,-28.0948,0.0,bottom
HALL25,206.774956,-28.0948,0.0,bottom
HALL26,225.824956,-28.0948,0.0,bottom
HALL27,244.874956,-28.0948,0.0,bottom
HALL28,268.687456,-28.0948,0.0,bottom
HALL29,13.893706,-47.1448,0.0,bottom
HALL3,44.849956,-9.0448,0.0,bottom
HALL30,40.087456,-47.1448,0.0,bottom
HALL31,59.137456,-47.1448,0.0,bottom
HALL32,78.187456,-47.1448,0.0,bottom
HALL33,97.237456,-47.1448,0.0,bottom
HALL34,116.287456,-47.1448,0.0,bottom
HALL35,135.337456,-47.1448,0.0,bottom
HALL36,154.387456,-47.1448,0.0,bottom
HALL37,173.437456,-47.1448,0.0,bottom
HALL38,192.487456,-47.1448,0.0,bottom
HALL39,211.537456,-47.1448,0.0,bottom
HALL4,63.899956,-9.0448,0.0,bottom
HALL40,230.587456,-47.1448,0.0,bottom
HALL41,261.543706,-47.1448,0.0,bottom
HALL42,18.656206,-66.1948,0.0,bottom
HALL43,49.612456,-66.1948,0.0,bottom
HALL44,68.662456,-66.1948,0.0,bottom
HALL45,87.712456,-66.1948,0.0,bottom
HALL46,106.762456,-66.1948,0.0,bottom
HALL47,125.812456,-66.1948,0.0,bottom
HALL48,144.862456,-66.1948,0.0,bottom
HALL49,163.912456,-66.1948,0.0,bottom
HALL5,82.949956,-9.0448,0.0,bottom
HALL50,182.962456,-66.1948,0.0,bottom
HALL51,202.012456,-66.1948,0.0,bottom
HALL52,221.062456,-66.1948,0.0,bottom
HALL53,256.781206,-66.1948,0.0,bottom
HALL54,9.131206,-85.2448,0.0,bottom
HALL55,32.943706,-85.2448,0.0,bottom
HALL56,56.756206,-85.2448,0.0,bottom
HALL57,128.193706,-85.2448,0.0,bottom
HALL58,199.631206,-85.2448,0.0,bottom
HALL59,223.443706,-85.2448,0.0,bottom
HALL6,101.999956,-9.0448,0.0,bottom
HALL60,247.256206,-85.2448,0.0,bottom
HALL61,271.068706,-85.2448,0.0,bottom
HALL7,121.049956,-9.0448,0.0,bottom
HALL8,140.099956,-9.0448,0.0,bottom
HALL9,159.149956,-9.0448,0.0,bottom
J1,44.75,-17.5,270.0,bottom
R1,9.116256,-7.6795,270.0,bottom
R10,142.466256,-7.6795,270.0,bottom
R11,161.516256,-7.6795,270.0,bottom
R12,180.566256,-7.6795,270.0,bottom
R13,199.616256,-7.6795,270.0,bottom
R14,218.666256,-7.6795,270.0,bottom
R15,237.716256,-7.6795,270.0,bottom
R16,266.291256,-7.6795,270.0,bottom
R17,13.878756,-26.7295,270.0,bottom
R18,37.691256,-26.7295,270.0,bottom
R19,56.741256,-26.7295,270.0,bottom
R2,144.584956,-78.3623,0.0,bottom
R20,75.791256,-26.7295,270.0,bottom
R21,94.841256,-26.7295,270.0,bottom
R22,113.891256,-26.7295,270.0,bottom
R23,132.941256,-26.7295,270.0,bottom
R24,151.991256,-26.7295,270.0,bottom
R25,171.041256,-26.7295,270.0,bottom
R26,190.091256,-26.7295,270.0,bottom
R27,209.141256,-26.7295,270.0,bottom
R28,228.191256,-26.7295,270.0,bottom
R29,247.241256,-26.7295,270.0,bottom
R3,105.624956,-88.3073,270.0,bottom
R30,271.053756,-26.7295,270.0,bottom
R31,16.260006,-45.7795,270.0,bottom
R32,42.453756,-45.7795,270.0,bottom
R33,61.503756,-45.7795,270.0,bottom
R34,80.553756,-45.7795,270.0,bottom
R35,99.603756,-45.7795,270.0,bottom
R36,118.653756,-45.7795,270.0,bottom
R37,137.703756,-45.7795,270.0,bottom
R38,156.753756,-45.7795,270.0,bottom
R39,175.803756,-45.7795,270.0,bottom
R4,28.166256,-7.6795,270.0,bottom
R40,194.853756,-45.7795,270.0,bottom
R41,213.903756,-45.7795,270.0,bottom
R42,232.953756,-45.7795,270.0,bottom
R43,263.910006,-45.7795,270.0,bottom
R44,21.022506,-64.8295,270.0,bottom
R45,51.978756,-64.8295,270.0,bottom
R46,71.028756,-64.8295,270.0,bottom
R47,90.078756,-64.8295,270.0,bottom
R48,109.128756,-64.8295,270.0,bottom
R49,128.178756,-64.8295,270.0,bottom
R5,47.216256,-7.6795,270.0,bottom
R50,147.228756,-64.8295,270.0,bottom
R51,166.278756,-64.8295,270.0,bottom
R52,185.328756,-64.8295,270.0,bottom
R53,204.378756,-64.8295,270.0,bottom
R54,223.428756,-64.8295,270.0,bottom
R55,259.147506,-64.8295,270.0,bottom
R56,11.497506,-83.8795,270.0,bottom
R57,35.310006,-83.8795,270.0,bottom
R58,59.122506,-83.8795,270.0,bottom
R59,130.560006,-83.8795,270.0,bottom
R6,66.266256,-7.6795,270.0,bottom
R60,201.997506,-83.8795,270.0,bottom
R61,225.810006,-83.8795,270.0,bottom
R62,249.622506,-83.8795,270.0,bottom
R63,273.435006,-83.8795,270.0,bottom
R64,45.3,-56.7,270.0,bottom
R65,48.875,-57.8,0.0,bottom
R7,85.316256,-7.6795,270.0,bottom
R8,104.366256,-7.6795,270.0,bottom
R9,123.416256,-7.6795,270.0,bottom
S1,263.924956,-9.0448,0.0,top
S2,261.543706,-47.1448,0.0,top
S3,18.656206,-66.1948,0.0,top
S4,256.781206,-66.1948,0.0,top
S5,128.193706,-85.2448,180.0,top
SW1,95.047456,-84.1098,180.0,bottom
SWD1,134.644956,-74.3698,90.0,bottom
TH1,1.221877,-4.08966,0.0,top
TH2,1.222277,-91.19486,0.0,top
TH3,278.921927,-91.28966,0.0,top
U1,151.374956,-77.9573,180.0,bottom
U2,51.19375,-52.775,180.0,bottom
U3,105.624956,-84.7698,180.0,bottom
U4,25.081256,-36.7498,270.0,bottom
U5,87.212456,-36.7498,270.0,bottom
U6,144.468756,-36.7498,270.0,bottom
U7,205.618756,-36.7498,270.0,bottom
U8,258.768756,-36.056,270.0,bottom
Y1,143.404956,-80.6198,0.0,bottom
